,city,lat,long,max temp,humidity,cloudiness,wind speed,country,date
0,Bluff,-46.6,168.3333,58.69,73,60,5.59,NZ,1609884688
1,Hobart,-42.8794,147.3294,64.99,55,40,14.99,AU,1609884644
2,Sioux Lookout,50.1001,-91.917,23.0,85,90,3.36,CA,1609884688
3,Mataura,-46.1927,168.8643,65.61,59,63,4.0,NZ,1609884688
4,New Norfolk,-42.7826,147.0587,64.99,58,59,3.0,AU,1609884688
5,Upernavik,72.7868,-56.1549,7.59,93,100,15.1,GL,1609884689
6,Kiryat Gat,31.61,34.7642,62.01,73,0,1.9,IL,1609884662
7,Westport,41.1415,-73.3579,41.0,60,90,9.17,US,1609884512
8,Punta Arenas,-53.15,-70.9167,60.8,44,75,25.28,CL,1609884689
9,Ushuaia,-54.8,-68.3,57.2,50,75,13.87,AR,1609884548
10,Kavaratti,10.5669,72.642,82.11,75,99,7.05,IN,1609884689
11,Salinópolis,-0.6136,-47.3561,81.0,76,5,12.1,BR,1609884689
12,Hithadhoo,-0.6,73.0833,82.44,78,62,15.93,MV,1609884689
13,Necochea,-38.5473,-58.7368,62.01,94,100,18.77,AR,1609884689
14,Hermanus,-34.4187,19.2345,60.01,91,2,2.17,ZA,1609884689
15,Norman Wells,65.282,-126.8329,-18.4,75,40,3.36,CA,1609884689
16,Manyoni,-5.7467,34.8382,63.84,87,100,0.72,TZ,1609884689
17,Skibbereen,51.55,-9.2667,33.8,86,20,9.17,IE,1609884689
18,East London,-33.0153,27.9116,71.33,83,91,12.19,ZA,1609884689
19,Busselton,-33.65,115.3333,60.01,77,20,3.0,AU,1609884690
20,Bukachacha,52.9833,116.9167,-20.96,73,26,4.47,RU,1609884690
21,Pangnirtung,66.1451,-65.7125,5.0,77,90,5.82,CA,1609884690
22,Souillac,-20.5167,57.5167,77.0,83,40,5.82,MU,1609884690
23,Maniwaki,46.3834,-75.966,30.2,80,99,5.82,CA,1609884414
24,Rikitea,-23.1203,-134.9692,77.02,76,0,13.06,PF,1609884690
25,Faya,18.3851,42.4509,57.2,100,0,2.48,SA,1609884690
26,Severo-Kuril'sk,50.6789,156.125,15.6,88,84,4.0,RU,1609884408
27,Vardø,70.3705,31.1107,23.0,85,75,21.92,NO,1609884690
28,Duku,11.2361,4.9073,82.38,15,0,8.34,NG,1609884690
29,Saldanha,-33.0117,17.9442,64.4,82,0,10.29,ZA,1609884690
30,Ntoum,0.3833,9.7833,82.4,83,40,6.93,GA,1609884690
31,Port Elizabeth,-33.918,25.5701,69.8,83,58,3.36,ZA,1609884691
32,Pāli,25.7667,73.3333,54.01,61,0,4.99,IN,1609884691
33,Saint George,37.1041,-113.5841,59.0,26,1,3.36,US,1609884562
34,Provideniya,64.3833,-173.3,-2.29,83,0,9.13,RU,1609884691
35,Torbay,47.6666,-52.7314,37.0,100,90,20.8,CA,1609884691
36,Maungatapere,-35.75,174.2,77.65,41,85,2.44,NZ,1609884691
37,Chokurdakh,70.6333,147.9167,-13.0,90,100,10.56,RU,1609884691
38,Saint-Augustin,51.226,-58.6502,23.76,93,61,11.83,CA,1609884691
39,Namatanai,-3.6667,152.4333,76.35,90,100,5.61,PG,1609884691
40,Samarai,-10.6167,150.6667,84.13,78,93,9.95,PG,1609884691
41,Passo Fundo,-28.2628,-52.4067,65.68,98,100,7.25,BR,1609884692
42,Cape Town,-33.9258,18.4232,68.0,88,20,16.11,ZA,1609884692
43,Rodeo,38.033,-122.2669,57.0,71,20,8.05,US,1609884692
44,Redwater,33.3582,-94.2544,60.8,31,1,4.7,US,1609884692
45,Stann Creek Town,16.9692,-88.2321,80.6,88,40,6.93,BZ,1609884692
46,Sitka,57.0531,-135.33,41.0,86,90,32.21,US,1609884692
47,Oiã,40.5426,-8.5386,37.0,86,0,4.12,PT,1609884692
48,Butaritari,3.0707,172.7902,81.59,74,22,21.3,KI,1609884692
49,Puerto Ayora,-0.7393,-90.3518,82.4,58,0,11.41,EC,1609884693
50,Elblag,54.1522,19.4088,32.0,95,90,11.41,PL,1609884693
51,Berlevåg,70.8578,29.0864,33.8,80,75,13.87,NO,1609884693
52,Nome,64.5011,-165.4064,5.0,77,90,3.36,US,1609884693
53,Cherskiy,68.75,161.3,-20.29,87,100,10.94,RU,1609884693
54,Chapais,49.7834,-74.8492,17.6,92,90,2.24,CA,1609884693
55,Wanning,18.8003,110.3967,66.69,75,100,8.28,CN,1609884693
56,Bushehr,28.9684,50.8385,60.8,93,13,9.17,IR,1609884693
57,Jamestown,42.097,-79.2353,33.01,98,90,5.82,US,1609884693
58,Estremoz,38.8443,-7.5859,36.0,96,0,5.26,PT,1609884693
59,Oranjemund,-28.55,16.4333,61.36,91,19,9.64,NA,1609884693
60,Bathsheba,13.2167,-59.5167,80.6,65,40,16.11,BB,1609884693
61,Albany,42.6001,-73.9662,34.0,81,97,2.91,US,1609884560
62,Makakilo City,21.3469,-158.0858,80.6,57,75,9.17,US,1609884694
63,Najrān,17.4924,44.1277,59.0,41,0,2.01,SA,1609884694
